q_table,episode,winrate,wins,losses,ties
exp2_vs_rational_321123_ep192307.pkl,192307,0.685000,137,63,0
exp2_vs_rational_321123_ep384615.pkl,384615,0.630000,126,74,0
exp2_vs_rational_321123_ep576923.pkl,576923,0.640000,128,72,0
exp2_vs_rational_321123_ep769230.pkl,769230,0.675000,135,65,0
exp2_vs_rational_321123_ep961538.pkl,961538,0.630000,126,74,0
exp2_vs_rational_321123_ep1153846.pkl,1153846,0.675000,135,65,0
exp2_vs_rational_321123_ep1346153.pkl,1346153,0.590000,118,82,0
exp2_vs_rational_321123_ep1538461.pkl,1538461,0.675000,135,65,0
exp2_vs_rational_321123_ep1730769.pkl,1730769,0.680000,136,64,0
exp2_vs_rational_321123_ep1923076.pkl,1923076,0.665000,133,67,0
exp2_vs_rational_321123_ep2115384.pkl,2115384,0.695000,139,61,0
exp2_vs_rational_321123_ep2307692.pkl,2307692,0.630000,126,74,0
exp2_vs_rational_321123_ep2500000.pkl,2500000,0.590000,118,82,0
exp2_vs_rational_321123_ep2692307.pkl,2692307,0.610000,122,78,0
exp2_vs_rational_321123_ep2884615.pkl,2884615,0.615000,123,77,0
exp2_vs_rational_321123_ep3076923.pkl,3076923,0.660000,132,68,0
exp2_vs_rational_321123_ep3269230.pkl,3269230,0.690000,138,62,0
exp2_vs_rational_321123_ep3461538.pkl,3461538,0.625000,125,75,0
exp2_vs_rational_321123_ep3653846.pkl,3653846,0.670000,134,66,0
exp2_vs_rational_321123_ep3846153.pkl,3846153,0.640000,128,72,0
exp2_vs_rational_321123_ep4038461.pkl,4038461,0.680000,136,64,0
exp2_vs_rational_321123_ep4230769.pkl,4230769,0.695000,139,61,0
exp2_vs_rational_321123_ep4423076.pkl,4423076,0.635000,127,73,0
exp2_vs_rational_321123_ep4615384.pkl,4615384,0.645000,129,71,0
exp2_vs_rational_321123_ep4807692.pkl,4807692,0.630000,126,74,0
exp2_vs_rational_321123_ep5000000.pkl,5000000,0.655000,131,69,0
